                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9005,                 2.6757,                 2.1195,                0.00333,                      1,                0.83481,                0.38747,                 1.5195,                  2.765,                 1.9552,                0.00024,                0.00024,                0.00024
                      2,                 1.4477,                  1.639,                 1.5397,                0.90062,                      1,                0.98686,                0.57772,                 1.1915,                 2.4225,                 1.5335,             0.00049381,             0.00049381,             0.00049381
                      3,                 1.3478,                 1.3748,                 1.4372,                      1,                0.72459,                 0.9898,                0.68588,                  1.044,                 2.0974,                 1.3785,             0.00074119,             0.00074119,             0.00074119
                      4,                 1.2091,                 1.2284,                 1.3493,                0.94258,                0.82084,                0.96072,                0.58969,                 1.1302,                 2.0496,                  1.533,             0.00098213,             0.00098213,             0.00098213
                      5,                  1.123,                 1.1682,                 1.2954,                0.96651,                   0.99,                0.98909,                0.70406,                 1.0023,                 1.3382,                 1.3899,              0.0012166,              0.0012166,              0.0012166
                      6,                 1.2467,                 1.2412,                 1.3976,                0.84204,                0.90623,                0.92968,                0.43916,                 1.6904,                 1.8911,                 2.3652,              0.0014447,              0.0014447,              0.0014447
                      7,                 1.1919,                  1.183,                 1.3731,                0.98442,                   0.99,                 0.9948,                 0.6463,                  1.207,                 1.2621,                 1.5368,              0.0016664,              0.0016664,              0.0016664
                      8,                 1.2026,                 1.1877,                 1.3404,                0.95162,                0.98356,                0.99066,                 0.6596,                 1.1624,                 1.1877,                 1.4695,              0.0018267,              0.0018267,              0.0018267
                      9,                 1.1201,                 1.0901,                 1.2733,                0.93003,                0.93044,                0.98279,                0.68941,                 1.0619,                 1.1545,                 1.3745,               0.001802,               0.001802,               0.001802
                     10,                 1.1147,                0.99277,                 1.2863,                0.98602,                   0.97,                0.99301,                0.70128,                 1.0662,                 1.1667,                  1.354,              0.0017772,              0.0017772,              0.0017772
                     11,                 1.1834,                 1.0283,                 1.3132,                0.98551,                      1,                  0.995,                0.74785,                0.94383,                0.83409,                 1.2763,              0.0017525,              0.0017525,              0.0017525
                     12,                 1.1902,                 1.0415,                  1.331,                 0.9971,                      1,                  0.995,                0.64207,                  1.209,                0.96007,                 1.4721,              0.0017278,              0.0017278,              0.0017278
                     13,                  1.209,                0.98963,                 1.3388,                0.97027,                      1,                0.99451,                0.68713,                 1.1015,                0.91468,                 1.3944,               0.001703,               0.001703,               0.001703
                     14,                  1.188,                0.92005,                 1.2583,                 0.9898,                0.97014,                0.99397,                0.71339,                 1.0754,                0.90578,                 1.4295,              0.0016783,              0.0016783,              0.0016783
                     15,                 1.0996,                 0.8764,                 1.2507,                0.99793,                   0.99,                0.99426,                0.70559,                 1.0186,                0.85242,                 1.3174,              0.0016535,              0.0016535,              0.0016535
                     16,                 1.0747,                0.79041,                 1.2114,                0.99554,                      1,                  0.995,                0.72155,                 1.0192,                0.76659,                 1.3104,              0.0016287,              0.0016287,              0.0016287
